"","spp","response","Estimate","Est.Error","Q5","Q95","Q10","Q90","Q20","Q80"
"Intercept","CP","BodySize","16.5321734920186","0.225266306795155","16.1568808581587","16.8860766641238","16.2544209002192","16.8042804007709","16.3562628251","16.7137184507085"
"sTemp20day","CP","BodySize","-0.160202524595281","0.0979962963195385","-0.323612693095708","-0.00081180783937576","-0.285961241614489","-0.0361543275494892","-0.241747465615127","-0.0789672291028945"
"sgrass_PC_tm1","CP","BodySize","-0.00975298154784992","0.188176264090903","-0.324328350336557","0.297465645104105","-0.251397185873762","0.222523642600769","-0.162712947839124","0.147054908502027"
"sbrowser_lastMo","CP","BodySize","0.122859968521282","0.100360006789783","-0.0370277590016979","0.282727044590481","0.00173588635717137","0.242014324328046","0.0446104687925118","0.199144725803218"
"patty_lastMo","CP","BodySize","-0.035323587335371","0.0173948637976844","-0.0621194739706648","-0.00634478114164102","-0.0562134718814292","-0.0135037267524995","-0.0491570823944554","-0.021780316390119"
"PD_lastMo","CP","BodySize","-0.01758172987083","0.008736192857785","-0.0319721372240592","-0.00304608675458943","-0.0289157573779169","-0.00619824959491455","-0.0249759958812136","-0.0103473353869415"
"CP_dens_tm1","CP","BodySize","4.5326184596534e-05","0.000584832184151364","-0.000918275458490992","0.000992567061569017","-0.00070426569567546","0.000775121048225946","-0.000439049304369866","0.000528530591455234"
"Intercept","onF","BodySize","7.63324137688122","0.18198208371512","7.33982451381059","7.93947456639969","7.40682509889914","7.86139153130867","7.48363028833513","7.77915185007003"
"sTemp20day","onF","BodySize","-0.0776725618599918","0.090980554003432","-0.227618112642878","0.0672960912301504","-0.194357391050778","0.0378025357125728","-0.153838862684844","-0.00122217564854672"
"sgrass_PC_tm1","onF","BodySize","0.0318756658768716","0.150779076527963","-0.218985542923481","0.271528032122064","-0.156404202495361","0.219578557640281","-0.0884600066192629","0.156198677890631"
"sbrowser_lastMo","onF","BodySize","-0.105692673541387","0.15169819877909","-0.351686172039962","0.143771150345088","-0.297567793143814","0.090377364646049","-0.230647589505335","0.0206761360204591"
"patty_lastMo","onF","BodySize","0.0168001819471064","0.012144977727328","-0.00312932015690972","0.0362062232175607","0.00174573095606035","0.0314718487235261","0.00737829574852072","0.0262782175498985"
"PD_lastMo","onF","BodySize","-0.00217440640530093","0.00316000312020025","-0.00729752340106022","0.00307565203788736","-0.00615818809704761","0.00182306767511568","-0.00480197380198936","0.000425332782305307"
"ON_dens_tm1","onF","BodySize","-0.000606052842386244","0.000855778851019941","-0.00201635673112004","0.000805060327304086","-0.00172478770526709","0.000480858052195798","-0.00132914416752938","0.000106948895559196"
"Intercept","onM","BodySize","7.8226837709701","0.205581529555278","7.50828601976277","8.15575156849506","7.57876230664022","8.07197385112264","7.66449709174836","7.98175369911037"
"sTemp20day","onM","BodySize","-0.0481014401983269","0.0966962976139325","-0.205655499462456","0.108336414268432","-0.17066165133491","0.0727028203382459","-0.126367027085224","0.0318189094522889"
"sgrass_PC_tm1","onM","BodySize","0.0804645737305918","0.154149297094015","-0.195634699997652","0.310039391857195","-0.115579236746924","0.260302306201368","-0.0330888331087604","0.201617080103049"
"sbrowser_lastMo","onM","BodySize","-0.057340777366216","0.125324985498039","-0.265885647397071","0.137668370964719","-0.215211800886899","0.094179845139733","-0.156894450276995","0.0426055768501258"
"patty_lastMo","onM","BodySize","0.022460329222775","0.0123463050705734","0.00375133990452883","0.0412890153793929","0.00847608651753037","0.0365042717016287","0.0136006294779865","0.0311824089693164"
"PD_lastMo","onM","BodySize","-0.000736551475937258","0.00478402616069051","-0.00856029607230226","0.00723494918353796","-0.00677314590405007","0.00543161624380095","-0.00476083258972101","0.00320594642394113"
"ON_dens_tm1","onM","BodySize","-0.000976066523635673","0.00122850053502381","-0.00302241820740811","0.000996329898088051","-0.00256661779438158","0.000540376858380517","-0.00196675004527446","3.23452683118539e-05"
