"","spp","response","Estimate","Est.Error","Q5","Q95","Q10","Q90","Q20","Q80"
"Intercept","CP","BodySize","16.1231856212568","0.141892313323513","15.8902225914977","16.3542308903718","15.941198721604","16.3010383983855","16.0045651397384","16.2400669462127"
"sTemp48hr","CP","BodySize","-0.0700797655434577","0.116137596420015","-0.259493043834607","0.119663446937222","-0.21816676581201","0.0777287983434265","-0.167202342442119","0.027728383124749"
"grass_PC1","CP","BodySize","0.0421995184921183","0.083603142830866","-0.0949042834841718","0.180995759216662","-0.0627624174442694","0.149253915366581","-0.0270680364757402","0.112208824259512"
"sbrowser_100m2","CP","BodySize","0.177402544486926","0.10202972221882","0.0168196796690104","0.34237110573194","0.0536158309019193","0.303106862473143","0.0966017245961113","0.257047437291638"
"spatty_100m2","CP","BodySize","-0.212386378448976","0.115735922338889","-0.39432258478704","-0.018790218065497","-0.354834299278714","-0.0649484958862791","-0.308206912965354","-0.117895905006093"
"sPD_1m2","CP","BodySize","-0.711099354163172","0.346417618933999","-1.28144058104045","-0.138572335153205","-1.15240637141372","-0.268262559144204","-0.998702285830717","-0.422409935472023"
"sCP_dens","CP","BodySize","-0.0616608636472","0.0927636221116259","-0.215673130079245","0.0896463042469532","-0.180068120350126","0.0554165047404745","-0.13955634147579","0.0149866078662931"
"Intercept","onF","BodySize","7.72794550104306","0.0813562913031129","7.59930777438818","7.86147336276153","7.62759728300131","7.82917496197921","7.66018739351111","7.79324788775184"
"sTemp48hr","onF","BodySize","-0.0356610104635901","0.0903327795750215","-0.182714981891351","0.114574171886504","-0.152992603811094","0.0802956788205468","-0.112757607945366","0.0408124775459391"
"grass_PC1","onF","BodySize","0.0259005933461533","0.0625245789775065","-0.0761966840007319","0.127505274729482","-0.0528905963952876","0.104345935744433","-0.0259761266900267","0.0794784437427887"
"sbrowser_100m2","onF","BodySize","-0.0425531417564097","0.127853811896061","-0.25414556414281","0.167300115358168","-0.20737379109967","0.12139356834913","-0.151202565878041","0.0658142766646541"
"spatty_100m2","onF","BodySize","0.0574382210329917","0.0737565088539882","-0.0622673083513283","0.176916440535641","-0.036051845914289","0.151186899158179","-0.00353482006819664","0.118115291291285"
"sPD_1m2","onF","BodySize","-0.0806820635397806","0.067375199801171","-0.189861639336676","0.0264261801710404","-0.163941245546551","0.00368529143442523","-0.134701349033867","-0.0258158367650486"
"sON_dens","onF","BodySize","0.0738494509126534","0.0643300515690555","-0.0325610273464162","0.181194372627652","-0.00843129880648481","0.156026628233405","0.0198599660250709","0.12736927436669"
"Intercept","onM","BodySize","7.93709854282677","0.108420687852338","7.76863650091644","8.12212854039239","7.80636455444329","8.07135915423216","7.85059809537439","8.02129037038107"
"sTemp48hr","onM","BodySize","0.0190449303897607","0.104993091165368","-0.153933908715263","0.191199430294292","-0.114492911216312","0.152179378561189","-0.0694512196987842","0.105642557168282"
"grass_PC1","onM","BodySize","0.0502179211196242","0.0689738196380584","-0.0646897688378532","0.16205848821441","-0.0391225781626199","0.136917039472343","-0.00583637059325377","0.106033296611343"
"sbrowser_100m2","onM","BodySize","-0.0178681769472669","0.109651090771685","-0.195415717832545","0.158054023794209","-0.154082016466193","0.116766305008545","-0.107189546834646","0.0698246395355134"
"spatty_100m2","onM","BodySize","0.0382014516378797","0.0932669419610194","-0.119231247261121","0.182148261188199","-0.0760020728897308","0.147947327861379","-0.0302812018580491","0.110075210475431"
"sPD_1m2","onM","BodySize","-0.143328465110423","0.0869481599346206","-0.284368013570379","-0.00212073031663118","-0.250188418853761","-0.0362814663294949","-0.213770159920039","-0.0737778100207574"
"sON_dens","onM","BodySize","0.0989832101025978","0.0893271668274254","-0.0485314738272554","0.245768396965306","-0.0153033438748924","0.212477029309885","0.0233376127082416","0.173964910991746"
