,spp,response,Estimate,Est.Error,Q5,Q95,Q10,Q90,Q20,Q80,,Model,Parameter,Est.,SE
Intercept,CP,BodySize,15.8620845,0.127520064,15.65042377,16.07561793,15.69967662,16.0249889,15.75792542,15.96901261,,C. pilularius,intercept,15.862,0.128
sinsecticide,CP,BodySize,-0.049863054,0.102992498,-0.217458689,0.119876179,-0.183152898,0.082332222,-0.137527336,0.037377375,,C. pilularius,insecticide,-0.050,0.103
siMo,CP,BodySize,-0.286339973,0.151830174,-0.54105278,-0.039695391,-0.478545422,-0.091179103,-0.413379955,-0.157168517,,C. pilularius,month,-0.286,0.152
Intercept,onF,BodySize,7.791515284,0.076831925,7.664160306,7.91846515,7.693170565,7.88840136,7.726586481,7.856259974,,O. nuchicornis females,intercept,7.792,0.077
sinsecticide,onF,BodySize,-0.021140568,0.067314908,-0.131362113,0.089632864,-0.108374989,0.064951256,-0.078360984,0.036064757,,O. nuchicornis females,insecticide,-0.021,0.067
siMo,onF,BodySize,-0.164895672,0.087936732,-0.310576866,-0.022139324,-0.278870371,-0.053910811,-0.239377982,-0.090975224,,O. nuchicornis females,month,-0.165,0.088
Intercept,onM,BodySize,7.987650547,0.078094833,7.859473095,8.115531905,7.888642406,8.087122907,7.923239447,8.052661264,,O. nuchicornis males,intercept,7.988,0.078
sinsecticide,onM,BodySize,0.060118432,0.069773533,-0.05639382,0.175679639,-0.029637717,0.149775902,0.000812019,0.118383425,,O. nuchicornis males,insecticide,0.060,0.070
siMo,onM,BodySize,0.019615475,0.0807488,-0.112193478,0.152933041,-0.084473944,0.123067663,-0.047940193,0.087846247,,O. nuchicornis males,month,0.020,0.081
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
