"","code_spp","forearm_mm_est","forearm_mm_SE","Q5","Q95","Q10","Q90","Q20","Q80","trt","site","month","spp"
"1","bison bison_1 6 Canthon_pilularius",3.90753488627088,0.118086393143812,3.7079158909804,4.08854644597185,3.77545646341774,4.04303585130728,3.82724842165835,3.99238933027995,"bison","bison_1",6,"Canthon_pilularius"
"2","bison bison_1 7 Canthon_pilularius",4.23431366659363,0.340712236114714,3.69278758389917,4.77129514543399,3.8488179037054,4.67409045286539,3.99923178896382,4.47186774698162,"bison","bison_1",7,"Canthon_pilularius"
"3","bison bison_1 8 Canthon_pilularius",4.24840088750245,0.24673410738452,3.90823692585246,4.60312920161726,4.01030219379533,4.47267440932968,4.10517707353227,4.37157176008774,"bison","bison_1",8,"Canthon_pilularius"
"4","bison bison_2 6 Canthon_pilularius",3.90636952389092,1.11873961705787,2.17676877357392,5.60805371888529,2.73758693221146,5.12564040631832,3.21712020790806,4.65930353579514,"bison","bison_2",6,"Canthon_pilularius"
"5","bison bison_2 7 Canthon_pilularius",4.3262723227092,0.493584784342014,3.56309727122998,5.2847668035599,3.77547019482191,4.93027005159162,3.97522040785742,4.63990102387237,"bison","bison_2",7,"Canthon_pilularius"
"6","bison bison_2 8 Canthon_pilularius",4.23847974366267,0.297891485241489,3.75167583864187,4.78421273953774,3.89810436357214,4.60822929874748,4.02443395401153,4.44798877933081,"bison","bison_2",8,"Canthon_pilularius"
"7","bison bison_3 6 Canthon_pilularius",3.82945714725058,0.0985637846083538,3.66567585186137,3.97705749759821,3.71493019366182,3.94365119274036,3.76120614937625,3.90436361961234,"bison","bison_3",6,"Canthon_pilularius"
"8","bison bison_3 7 Canthon_pilularius",3.90044534873157,0.109730314468012,3.72702258526184,4.07015488796486,3.77392001738334,4.02530081997684,3.82135071616935,3.98127437693051,"bison","bison_3",7,"Canthon_pilularius"
"9","bison bison_3 8 Canthon_pilularius",3.96657122853637,0.16389856016109,3.51402082563192,4.17144603942902,3.80710939982202,4.12176710658698,3.89625316847901,4.07158270377475,"bison","bison_3",8,"Canthon_pilularius"
"10","cattle cattle_1 7 Canthon_pilularius",4.2608011845756,0.330581002799497,3.72830331855993,4.82369403648385,3.88064241722356,4.65913266974477,4.02729599943124,4.48756796969119,"cattle","cattle_1",7,"Canthon_pilularius"
"11","cattle cattle_1 8 Canthon_pilularius",4.08367747457079,0.182658924733115,3.81932586551921,4.50525727341723,3.9217083669449,4.33068534265589,3.98376632315055,4.16481860666213,"cattle","cattle_1",8,"Canthon_pilularius"
"12","cattle cattle_2 7 Canthon_pilularius",3.7737831973106,0.152965385716855,3.50654328137396,4.01873547286039,3.59055990598853,3.9543470434825,3.66416904940724,3.88390269016654,"cattle","cattle_2",7,"Canthon_pilularius"
"13","cattle cattle_2 8 Canthon_pilularius",3.83136780325683,0.127520142154092,3.62329614628897,4.0369412167508,3.68273205518215,3.98400165087453,3.7412756293411,3.92371890907919,"cattle","cattle_2",8,"Canthon_pilularius"
"14","cattle cattle_3 6 Canthon_pilularius",4.00371604090998,0.153638654611199,3.80756374972615,4.26897695839089,3.85719523323193,4.14313487059411,3.89772834259976,4.07836648653873,"cattle","cattle_3",6,"Canthon_pilularius"
"15","cattle cattle_3 7 Canthon_pilularius",3.92683951293845,0.16167216924112,3.67731669015606,4.20688656615589,3.75067616501608,4.10549091301273,3.815225987389,4.02834722165461,"cattle","cattle_3",7,"Canthon_pilularius"
