"","code_spp","head_mm_est","head_mm_SE","Q5","Q95","Q10","Q90","Q20","Q80","trt","site","month","spp"
"1","bison bison_1 6 Canthon_pilularius",3.79749254180807,0.119890960851633,3.57891774681587,3.96880474027288,3.66798721316693,3.92294357403748,3.72652046865486,3.8793628027508,"bison","bison_1",6,"Canthon_pilularius"
"2","bison bison_1 7 Canthon_pilularius",3.55895175890404,0.174113408349741,3.22382140873786,3.81828424898919,3.34849952649595,3.75635364799213,3.4396416001739,3.68590226887299,"bison","bison_1",7,"Canthon_pilularius"
"3","bison bison_1 8 Canthon_pilularius",3.68378748773175,0.23778027291229,3.27900706013513,4.08223100908241,3.407316622427,3.96452643335261,3.51933344109908,3.85394283066527,"bison","bison_1",8,"Canthon_pilularius"
"4","bison bison_2 6 Canthon_pilularius",3.7540977323786,1.04647280163965,2.27295432727646,5.62167287070815,2.60908411241519,4.93761161233497,2.98748717399927,4.40210670538879,"bison","bison_2",6,"Canthon_pilularius"
"5","bison bison_2 7 Canthon_pilularius",3.75113219865592,0.351293630211673,2.97537785852905,4.30793849105581,3.38084833692349,4.16658630373231,3.54541021155592,3.99462638807789,"bison","bison_2",7,"Canthon_pilularius"
"6","bison bison_2 8 Canthon_pilularius",3.61055041157383,0.234358847760161,3.24346541505982,3.92345291156208,3.3764814365358,3.84093977115656,3.49303333711774,3.76351282242527,"bison","bison_2",8,"Canthon_pilularius"
"7","bison bison_3 6 Canthon_pilularius",3.82930441170269,0.0977544534744375,3.682151441608,3.98961594950951,3.72091955224028,3.93778038891712,3.75680187489576,3.89340143426662,"bison","bison_3",6,"Canthon_pilularius"
"8","bison bison_3 7 Canthon_pilularius",3.80442402980951,0.0974685098944141,3.6425713516757,3.97018813441575,3.68326969934462,3.92178638277003,3.72893881373449,3.87857202917806,"bison","bison_3",7,"Canthon_pilularius"
"9","bison bison_3 8 Canthon_pilularius",3.81826849217263,0.0949775980344711,3.65988073953112,3.97642787567314,3.70431135388297,3.93345161575268,3.74650692116649,3.88785032081025,"bison","bison_3",8,"Canthon_pilularius"
"10","cattle cattle_1 7 Canthon_pilularius",3.99392103680635,0.0695346654844537,3.87922442313373,4.10460249320849,3.91140256796191,4.07571103913366,3.94268581467343,4.0468838384968,"cattle","cattle_1",7,"Canthon_pilularius"
"11","cattle cattle_1 8 Canthon_pilularius",3.8827608423152,0.141747707375564,3.66774167979502,4.10174422402322,3.74364625930728,4.03153049029883,3.80304432593012,3.96906254205187,"cattle","cattle_1",8,"Canthon_pilularius"
"12","cattle cattle_2 7 Canthon_pilularius",3.7526948465577,0.197925482534781,3.29693572982965,3.99579660773802,3.35354782045251,3.94771691728459,3.65799661389984,3.89211390034975,"cattle","cattle_2",7,"Canthon_pilularius"
"13","cattle cattle_2 8 Canthon_pilularius",3.78569286014735,0.0859735362941252,3.6571444456549,3.92301352134872,3.69424109631171,3.88444186690587,3.73025561561904,3.84447196625784,"cattle","cattle_2",8,"Canthon_pilularius"
"14","cattle cattle_3 6 Canthon_pilularius",3.93974789673912,0.104217641250292,3.76795178371604,4.1200083290769,3.81908484585997,4.05650220888463,3.86826843779566,4.00564607099007,"cattle","cattle_3",6,"Canthon_pilularius"
"15","cattle cattle_3 7 Canthon_pilularius",3.90031246237766,0.115805924318347,3.72841837939148,4.09913716300146,3.77277779035248,4.01850725513927,3.82059386442336,3.97102701851865,"cattle","cattle_3",7,"Canthon_pilularius"
"16","cattle cattle_3 8 Canthon_pilularius",3.91637343939672,0.0693332007608107,3.80504758263847,4.02851167715615,3.8326530081726,3.99641079847339,3.8644338908998,3.9659040886189,"cattle","cattle_3",8,"Canthon_pilularius"
"17","trtpd trtpd_1 6 Canthon_pilularius",2.61425165796566,1.02087743291697,0.951167637235004,4.30575438293952,1.42637439878931,3.85158833942477,1.92768056163307,3.31721257404427,"trtpd","trtpd_1",6,"Canthon_pilularius"
"18","trtpd trtpd_1 7 Canthon_pilularius",2.72156600649011,1.61577903364152,0.42701229289639,6.18454371406849,0.988613192297572,4.93188621112935,1.51783993967122,3.70500697364901,"trtpd","trtpd_1",7,"Canthon_pilularius"
"19","trtpd trtpd_1 8 Canthon_pilularius",3.42236479277298,0.21532617977399,3.08865565162347,3.79087041219844,3.16929731433584,3.68067922170488,3.2570406372831,3.58055562344382,"trtpd","trtpd_1",8,"Canthon_pilularius"
"20","trtpd trtpd_2 6 Canthon_pilularius",3.93384216402871,0.365562876625232,3.42792993403993,4.52096110775931,3.58871015139503,4.29671575464307,3.72940605505799,4.11609528736632,"trtpd","trtpd_2",6,"Canthon_pilularius"
"21","trtpd trtpd_2 7 Canthon_pilularius",3.76784991804615,0.0939425404934732,3.62755772570692,3.92228580270622,3.66517069926352,3.87207852703293,3.70443894996498,3.82701152075253,"trtpd","trtpd_2",7,"Canthon_pilularius"
"22","trtpd trtpd_2 8 Canthon_pilularius",3.76360558793774,0.116565321471645,3.56205890786409,3.94553697720307,3.63039306180567,3.88658665149553,3.68943762249894,3.83887282624535,"trtpd","trtpd_2",8,"Canthon_pilularius"
