"","site","month","grass_PC1","grass_PC_tm1","browser_100m2","patty_100m2","PD_1m2","browser_minusLastMo","patty_minusLastMo","PD_minusLastMo","browser_lastMo","patty_lastMo","PD_lastMo","wing.mean","wing.se","thorax.mean","thorax.se","head.mean","head.se","forearm.mean","forearm.se","body.mean","body.se","trt","spp","trtbison","trtcattle","trttrtpd","trtungrazed","trtuntrtpd","Temp48hr","Temp20day","Temp60day"
"1","bison_1",6, 0.12717182,NA,0.125, 3.375,NA,NA,NA,NA,NA,NA,NA,7.13725000,0.09528768,5.04825000,0.06779389,3.81075000,0.05168493,3.91475000,0.06830924,15.99625000, 0.21050083,"bison","Canthon_pilularius",1,0,0,0,0,21.12037,NA,NA
"2","bison_1",6, 0.12717182,NA,0.125, 3.375,NA,NA,NA,NA,NA,NA,NA,3.00680000,0.05550291,2.92320000,0.06289335,1.69720000,0.03369233,1.60520000,0.04555992, 7.62720000, 0.13592341,"bison","Onthophagus_nuchicornis_female",1,0,0,0,0,21.12037,NA,NA
"3","bison_1",6, 0.12717182,NA,0.125, 3.375,NA,NA,NA,NA,NA,NA,NA,2.99400000,0.04011330,3.02425000,0.04607809,1.81500000,0.03761137,1.73300000,0.03430855, 7.83325000, 0.11429347,"bison","Onthophagus_nuchicornis_male",1,0,0,0,0,21.12037,NA,NA
"4","bison_1",7,-0.28322580, 0.12717182,0.000, 4.375,NA,-0.125, 1.000,NA,0.125, 3.375,NA,3.13000000,0.05374915,3.07764706,0.09588032,1.84588235,0.04785901,1.95705882,0.07350853, 8.05352941, 0.16381020,"bison","Onthophagus_nuchicornis_female",1,0,0,0,0,23.88558,24.73249,NA
"5","bison_1",7,-0.28322580, 0.12717182,0.000, 4.375,NA,-0.125, 1.000,NA,0.125, 3.375,NA,3.08000000,0.05591660,3.08666667,0.11712292,2.05333333,0.08232726,2.05666667,0.09109214, 8.22000000, 0.16002083,"bison","Onthophagus_nuchicornis_male",1,0,0,0,0,23.88558,24.73249,NA
"6","bison_1",7,-0.28322580, 0.12717182,0.000, 4.375,NA,-0.125, 1.000,NA,0.125, 3.375,NA,6.93975000,0.17405256,5.05150000,0.11276510,3.58000000,0.10204888,4.21150000,0.12297777,15.57125000, 0.37413733,"bison","Canthon_pilularius",1,0,0,0,0,23.88558,24.73249,NA
"7","bison_1",8,-1.33782177,-0.28322580,0.125, 3.250,NA, 0.125,-1.125,NA,0.000, 4.375,NA,2.97000000,NA,2.84000000,NA,1.71000000,NA,1.70000000,NA, 7.52000000,NA,"bison","Onthophagus_nuchicornis_female",1,0,0,0,0,25.11900,26.30585,24.32799
"8","bison_1",8,-1.33782177,-0.28322580,0.125, 3.250,NA, 0.125,-1.125,NA,0.000, 4.375,NA,7.15975000,0.09099133,5.05175000,0.07509642,3.69125000,0.06377966,4.23950000,0.07821400,15.90275000, 0.21762323,"bison","Canthon_pilularius",1,0,0,0,0,25.11900,26.30585,24.32799
"9","bison_2",6, 2.10983564,NA,0.625,27.500,NA,NA,NA,NA,NA,NA,NA,7.16333333,0.47025998,5.24000000,0.11357817,3.72666667,0.26859718,3.92666667,0.29236583,16.13000000, 0.85113650,"bison","Canthon_pilularius",1,0,0,0,0,12.71712,NA,NA
"10","bison_2",6, 2.10983564,NA,0.625,27.500,NA,NA,NA,NA,NA,NA,NA,3.34142857,0.11930134,3.09428571,0.11358162,1.87785714,0.06762192,2.01214286,0.09851189, 8.31357143, 0.27084444,"bison","Onthophagus_nuchicornis_female",1,0,0,0,0,12.71712,NA,NA
