"","code_spp","body_mm_est","body_mm_SE","Q5","Q95","Q10","Q90","Q20","Q80","trt","site","month","spp"
"1","bison bison_1 6 Canthon_pilularius",15.9649357620579,0.462439417274508,15.2410940336728,16.6662967140194,15.4552107949838,16.483107368415,15.6780973338241,16.2789521554951,"bison","bison_1",6,"Canthon_pilularius"
"2","bison bison_1 7 Canthon_pilularius",15.6164985203493,0.639194537847928,14.7171660163044,16.5478125968382,14.9219720074428,16.2494968897936,15.1621270553326,16.0134872079655,"bison","bison_1",7,"Canthon_pilularius"
"3","bison bison_1 8 Canthon_pilularius",15.8561675772166,0.567409386782891,14.8847588397828,16.7736510821666,15.1304487662066,16.5394309328089,15.4351239363014,16.2783332654733,"bison","bison_1",8,"Canthon_pilularius"
"4","bison bison_2 6 Canthon_pilularius",15.9278197254427,1.40182516459438,13.5922926076146,18.2271431929699,14.2995946957423,17.5576876686386,14.9530940707793,16.9065756509326,"bison","bison_2",6,"Canthon_pilularius"
"5","bison bison_2 7 Canthon_pilularius",16.3453428046372,0.698787987390546,15.2736899204858,17.4304717632522,15.568442825334,17.173385643265,15.8468528819102,16.8526067352753,"bison","bison_2",7,"Canthon_pilularius"
"6","bison bison_2 8 Canthon_pilularius",15.7797284957308,0.506996111656433,14.9452402724381,16.6117249131157,15.1628265318041,16.3862008222329,15.3925095627275,16.1637004751423,"bison","bison_2",8,"Canthon_pilularius"
"7","bison bison_3 6 Canthon_pilularius",15.9539141258212,0.378381704066588,15.3480628291789,16.5811662410924,15.5450171486218,16.3733458197676,15.7014617855296,16.1970646600992,"bison","bison_3",6,"Canthon_pilularius"
"8","bison bison_3 7 Canthon_pilularius",16.0519664345776,0.376376863966467,15.4575874236314,16.630729136224,15.6157210780086,16.4881099211702,15.7805379442645,16.3204497158325,"bison","bison_3",7,"Canthon_pilularius"
"9","bison bison_3 8 Canthon_pilularius",15.89347069787,0.32473284942167,15.3615529816118,16.4457310226146,15.5086737162386,16.2895184927414,15.6536000567262,16.1381770745206,"bison","bison_3",8,"Canthon_pilularius"
"10","cattle cattle_1 7 Canthon_pilularius",16.8056060991793,0.33027166553192,16.1271325056937,17.2846543220621,16.4307252415784,17.1654425626079,16.6049635082806,17.0452246394782,"cattle","cattle_1",7,"Canthon_pilularius"
"11","cattle cattle_1 8 Canthon_pilularius",16.4576358608302,0.431267715713373,15.8601718452658,17.1842446756904,16.0002936787718,16.9291234166855,16.1580037166898,16.7090741186864,"cattle","cattle_1",8,"Canthon_pilularius"
"12","cattle cattle_2 7 Canthon_pilularius",16.1311690670768,0.448496538876514,15.4439126696193,16.8707834766423,15.6413417231524,16.6249998204204,15.8212727231056,16.4212516993324,"cattle","cattle_2",7,"Canthon_pilularius"
"13","cattle cattle_2 8 Canthon_pilularius",15.9659995238538,0.426123530006469,15.2996962385168,16.6424320806459,15.4837662664404,16.4395691323076,15.6857809440041,16.2511221261066,"cattle","cattle_2",8,"Canthon_pilularius"
"14","cattle cattle_3 6 Canthon_pilularius",16.6057881560207,0.367816668843456,15.9865939613405,17.2199688993323,16.1605682491563,17.064177967893,16.3409358314973,16.8703422668984,"cattle","cattle_3",6,"Canthon_pilularius"
"15","cattle cattle_3 7 Canthon_pilularius",15.9447327846359,0.895667499181829,13.9629034860254,16.931588812784,14.1255548044357,16.6858470088658,15.6336924219743,16.4901534463857,"cattle","cattle_3",7,"Canthon_pilularius"
"16","cattle cattle_3 8 Canthon_pilularius",16.5131901234836,0.271114727592436,16.0874443336998,16.9212648448272,16.2002484958618,16.8211554716571,16.3274417050609,16.7123550391838,"cattle","cattle_3",8,"Canthon_pilularius"
"17","trtpd trtpd_1 6 Canthon_pilularius",10.3033507231385,1.88850903599717,7.23738768271679,13.3158252144121,7.97307588503298,12.6258346812506,8.80404926640558,11.7977609939668,"trtpd","trtpd_1",6,"Canthon_pilularius"
"18","trtpd trtpd_1 7 Canthon_pilularius",10.0610239125499,2.37202492429274,6.31076945117393,13.9631740348626,7.20715085087469,12.8595790167963,8.31132457834298,11.856540825513,"trtpd","trtpd_1",7,"Canthon_pilularius"
"19","trtpd trtpd_1 8 Canthon_pilularius",14.5700477619035,0.680845471668462,13.4957852808418,15.6871738712561,13.766356298904,15.3781354150389,14.0627570193923,15.0800934058135,"trtpd","trtpd_1",8,"Canthon_pilularius"
"20","trtpd trtpd_2 6 Canthon_pilularius",16.4162456480941,0.678372495242816,15.4301831518618,17.4046765464143,15.7677343479411,17.0936028108097,16.0587998866269,16.7866619165997,"trtpd","trtpd_2",6,"Canthon_pilularius"
"21","trtpd trtpd_2 7 Canthon_pilularius",15.9595744545984,0.301339790909298,15.4699740315645,16.4424661781701,15.5963830209001,16.3088402873875,15.7303375737709,16.1835621318428,"trtpd","trtpd_2",7,"Canthon_pilularius"
"22","trtpd trtpd_2 8 Canthon_pilularius",15.9670226818056,0.512170076441253,15.1805515053466,16.8149709164563,15.4476426655193,16.4701521378916,15.6683375153575,16.2510330547794,"trtpd","trtpd_2",8,"Canthon_pilularius"
"23","trtpd trtpd_3 6 Canthon_pilularius",16.0227376757113,0.775820083097646,14.8122633781135,17.3208921464773,15.1061081130831,16.9391036075354,15.3989103840884,16.5969435673657,"trtpd","trtpd_3",6,"Canthon_pilularius"
"24","trtpd trtpd_3 7 Canthon_pilularius",15.5934093616895,0.76579585030255,14.388847310234,16.8436143644805,14.6945334853471,16.4694093257326,15.0273165362738,16.1455596574526,"trtpd","trtpd_3",7,"Canthon_pilularius"
"25","trtpd trtpd_3 8 Canthon_pilularius",15.5317946929806,0.709675425898008,14.4643691545234,16.7480074555588,14.7402637007976,16.3835760448041,15.0229266447248,16.0324567363606,"trtpd","trtpd_3",8,"Canthon_pilularius"
"26","ungrazed ungrazed_1 6 Canthon_pilularius",16.5915247295848,0.401215704965848,15.9427501396585,17.2146595035312,16.1222288610482,17.0463678629497,16.3157385739151,16.8808986499239,"ungrazed","ungrazed_1",6,"Canthon_pilularius"
"27","ungrazed ungrazed_1 7 Canthon_pilularius",16.9040444676189,0.234821454248495,16.5210818288285,17.2781715306672,16.6150462161798,17.1820578471249,16.7256695164274,17.0840481053257,"ungrazed","ungrazed_1",7,"Canthon_pilularius"
"28","ungrazed ungrazed_1 8 Canthon_pilularius",16.5569533950892,0.324010227857775,16.0310091829443,17.054400610321,16.178267011674,16.9354385165199,16.3277307417948,16.798678631116,"ungrazed","ungrazed_1",8,"Canthon_pilularius"
"29","ungrazed ungrazed_2 6 Canthon_pilularius",16.7516534467787,0.971366798694016,15.2198050282074,18.3868078291947,15.5804621156894,17.9388166015617,15.9962844566952,17.4833879203435,"ungrazed","ungrazed_2",6,"Canthon_pilularius"
"30","ungrazed ungrazed_2 7 Canthon_pilularius",16.6484756309058,0.751794213938986,15.4818831231516,17.8137301884418,15.8885078186801,17.5074138491553,16.1908449653493,17.182277460691,"ungrazed","ungrazed_2",7,"Canthon_pilularius"
"31","ungrazed ungrazed_2 8 Canthon_pilularius",16.5225815852061,0.349816963916521,15.9499365097077,17.118767669721,16.1046742119057,16.9434555397543,16.2576372316526,16.7963138695763,"ungrazed","ungrazed_2",8,"Canthon_pilularius"
"32","ungrazed ungrazed_3 6 Canthon_pilularius",16.427644220338,0.76711210536269,15.1699647134098,17.6649553471912,15.5102910433908,17.3614148300585,15.8572134476834,17.0181597434647,"ungrazed","ungrazed_3",6,"Canthon_pilularius"
"33","ungrazed ungrazed_3 7 Canthon_pilularius",17.8848749311216,0.994570643339983,16.3592149859414,19.6521309621932,16.7866304932434,19.0593743362466,17.2094424005149,18.5697974400311,"ungrazed","ungrazed_3",7,"Canthon_pilularius"
"34","ungrazed ungrazed_3 8 Canthon_pilularius",16.0524729931607,0.586497064931198,15.102037806529,16.9957973391212,15.3457161704623,16.7355973399931,15.6359969978455,16.4743646183078,"ungrazed","ungrazed_3",8,"Canthon_pilularius"
"35","untrtpd untrtpd_1 8 Canthon_pilularius",12.9514052670342,1.63503355116199,10.3429098901722,15.6605570879728,11.012543378414,14.9120988332537,11.7959226767172,14.1054592268782,"untrtpd","untrtpd_1",8,"Canthon_pilularius"
"36","untrtpd untrtpd_2 6 Canthon_pilularius",16.0427832325112,0.460317399003908,15.2118784452222,16.6981891598472,15.5598245770567,16.5284829742115,15.7825245289188,16.3667311282119,"untrtpd","untrtpd_2",6,"Canthon_pilularius"
"37","untrtpd untrtpd_2 7 Canthon_pilularius",15.9803291016571,0.286365082995064,15.5257280446911,16.4482963561277,15.6456258229073,16.3163010395174,15.7747000175346,16.1863759748666,"untrtpd","untrtpd_2",7,"Canthon_pilularius"
"38","untrtpd untrtpd_2 8 Canthon_pilularius",15.2060240211116,0.401679251233497,14.5714998792566,15.8698862673485,14.7494308505247,15.6770846258748,14.9157282457461,15.4909563813864,"untrtpd","untrtpd_2",8,"Canthon_pilularius"
"39","untrtpd untrtpd_3 6 Canthon_pilularius",16.2258538867039,0.5820615002193,15.2957175629453,17.1919445338172,15.5658683887206,16.8925781987874,15.8087463779989,16.6186273796658,"untrtpd","untrtpd_3",6,"Canthon_pilularius"
"40","untrtpd untrtpd_3 7 Canthon_pilularius",16.0758370334541,0.271180688130083,15.6069590416197,16.5009704449945,15.7257805254871,16.3975844698413,15.8617195778508,16.2930472986258,"untrtpd","untrtpd_3",7,"Canthon_pilularius"
"41","untrtpd untrtpd_3 8 Canthon_pilularius",15.6861655722872,0.507528252817168,14.8982382209547,16.506116845108,15.107937370495,16.2935286299375,15.3224874538446,16.0303919664806,"untrtpd","untrtpd_3",8,"Canthon_pilularius"
"42","bison bison_1 6 Onthophagus_nuchicornis_female",7.63334749632148,0.230543351147305,7.2604124391825,8.01939975801151,7.37264438295771,7.91028645086696,7.47633452481251,7.79645183221752,"bison","bison_1",6,"Onthophagus_nuchicornis_female"
"43","bison bison_1 7 Onthophagus_nuchicornis_female",7.99258343212427,0.514321965937545,7.13661868484484,8.80893504066372,7.38332974833415,8.59694027398504,7.64018728835907,8.35815822143697,"bison","bison_1",7,"Onthophagus_nuchicornis_female"
"44","bison bison_1 8 Onthophagus_nuchicornis_female",7.49506723848723,1.93515358372939,4.39216099158965,10.6604775125557,5.24799503246752,9.74572779561106,6.18561672183795,8.82146804241005,"bison","bison_1",8,"Onthophagus_nuchicornis_female"
"45","bison bison_2 6 Onthophagus_nuchicornis_female",8.24108572829761,0.532254250574346,7.3503851327321,9.08320054823947,7.59923382604425,8.88362920347258,7.83889771943938,8.65100850295372,"bison","bison_2",6,"Onthophagus_nuchicornis_female"
"46","bison bison_2 7 Onthophagus_nuchicornis_female",8.14458812467213,0.209916001257934,7.79209899088493,8.46173460363423,7.91439020447266,8.38062297907567,8.00645353431487,8.29551872639743,"bison","bison_2",7,"Onthophagus_nuchicornis_female"
"47","bison bison_2 8 Onthophagus_nuchicornis_female",7.79765292742874,0.93965197447066,6.21647891929161,9.28479556343792,6.72438666756103,8.93103605589189,7.17855504922012,8.50533232453077,"bison","bison_2",8,"Onthophagus_nuchicornis_female"
"48","bison bison_3 6 Onthophagus_nuchicornis_female",7.78791303393119,0.236105414299374,7.39571887780226,8.16196168634082,7.51749825823069,8.0380580951527,7.62353207226352,7.94118569259754,"bison","bison_3",6,"Onthophagus_nuchicornis_female"
"49","bison bison_3 7 Onthophagus_nuchicornis_female",7.60823481060396,0.193356071905239,7.2956611871052,7.89015973645251,7.39956524350855,7.82127031869265,7.4811760430119,7.7465168003665,"bison","bison_3",7,"Onthophagus_nuchicornis_female"
"50","bison bison_3 8 Onthophagus_nuchicornis_female",7.52383543014548,0.319991517106185,7.04686729115077,8.32278621650368,7.17832864440532,7.90482734162301,7.29989974466831,7.70812992957414,"bison","bison_3",8,"Onthophagus_nuchicornis_female"
"51","cattle cattle_1 6 Onthophagus_nuchicornis_female",8.14273103134988,1.00721411569504,6.68932507904745,9.65819654614223,7.10363013736991,9.23254261709507,7.49099093976009,8.78071861105909,"cattle","cattle_1",6,"Onthophagus_nuchicornis_female"
"52","cattle cattle_1 7 Onthophagus_nuchicornis_female",7.91950906057097,0.630833444536394,6.90541349265847,8.96036509836205,7.2048779822336,8.67737885918648,7.47328245017753,8.36494055075601,"cattle","cattle_1",7,"Onthophagus_nuchicornis_female"
"53","cattle cattle_1 8 Onthophagus_nuchicornis_female",5.89755550457697,1.3031920877794,3.7840760125312,8.00631202974865,4.32495663300345,7.42964645187838,5.01427070861454,6.77678841736062,"cattle","cattle_1",8,"Onthophagus_nuchicornis_female"
"54","cattle cattle_2 6 Onthophagus_nuchicornis_female",9.62704950617983,1.30742703874962,7.43131497607864,11.8289168787959,8.18609454486256,11.1921861036631,8.85143135077186,10.4984403313324,"cattle","cattle_2",6,"Onthophagus_nuchicornis_female"
"55","cattle cattle_2 7 Onthophagus_nuchicornis_female",7.97916035184701,0.187844854668447,7.69056419488267,8.22847843385625,7.78973853322619,8.15609209923069,7.87317952839987,8.09017932718986,"cattle","cattle_2",7,"Onthophagus_nuchicornis_female"
"56","cattle cattle_2 8 Onthophagus_nuchicornis_female",7.4933114675543,0.270221344475627,7.05272454081531,7.92398580429956,7.20054013587899,7.78855188551372,7.31973380482937,7.68131053425834,"cattle","cattle_2",8,"Onthophagus_nuchicornis_female"
"57","cattle cattle_3 6 Onthophagus_nuchicornis_female",7.76574037064356,0.217990017499435,7.43232265369288,8.15413679254109,7.52101126709609,8.02911903731986,7.60942873667824,7.90698525390059,"cattle","cattle_3",6,"Onthophagus_nuchicornis_female"
"58","cattle cattle_3 7 Onthophagus_nuchicornis_female",7.5802823701981,0.242866475737734,7.16123393495499,7.91611490717077,7.33518685391491,7.82900560457514,7.4528008043543,7.74481514717049,"cattle","cattle_3",7,"Onthophagus_nuchicornis_female"
"59","cattle cattle_3 8 Onthophagus_nuchicornis_female",8.31567094965969,0.478813325929895,7.55665894975592,9.11266351746776,7.75073147623393,8.89236386652492,7.96021969737046,8.66584373155871,"cattle","cattle_3",8,"Onthophagus_nuchicornis_female"
"60","trtpd trtpd_1 6 Onthophagus_nuchicornis_female",8.316139594433,0.568519838153485,7.41499830912963,9.25991831671612,7.70207532620018,8.96641135827737,7.93499086711574,8.6779855003413,"trtpd","trtpd_1",6,"Onthophagus_nuchicornis_female"
"61","trtpd trtpd_1 7 Onthophagus_nuchicornis_female",8.08381988308447,0.386674362077177,7.48381296862349,8.70064372296123,7.64215246874307,8.50456275533387,7.82347250953218,8.32564067808553,"trtpd","trtpd_1",7,"Onthophagus_nuchicornis_female"
"62","trtpd trtpd_1 8 Onthophagus_nuchicornis_female",7.87559364192871,0.876839258623604,6.56020375767621,9.32137696584588,6.87993688577296,8.90630918550582,7.25609787380273,8.47816517076467,"trtpd","trtpd_1",8,"Onthophagus_nuchicornis_female"
"63","trtpd trtpd_2 6 Onthophagus_nuchicornis_female",7.73460323880087,0.245387074643991,7.29825854292989,8.10376552723453,7.46536997231882,8.01873415517423,7.58198300290862,7.91413250348513,"trtpd","trtpd_2",6,"Onthophagus_nuchicornis_female"
"64","trtpd trtpd_2 7 Onthophagus_nuchicornis_female",7.57515396130345,0.244616405552,7.19052033123169,7.99847044631976,7.29646676969949,7.86858907699975,7.39591473872484,7.74710151251862,"trtpd","trtpd_2",7,"Onthophagus_nuchicornis_female"
"65","trtpd trtpd_2 8 Onthophagus_nuchicornis_female",7.7521234071507,0.676141696279937,6.54555182602974,8.79400053150517,6.95883295526735,8.50396096339907,7.30378003387359,8.22452184085001,"trtpd","trtpd_2",8,"Onthophagus_nuchicornis_female"
"66","trtpd trtpd_3 6 Onthophagus_nuchicornis_female",8.19048160041728,0.329181259568658,7.61545877952248,8.65910195648325,7.83463951841449,8.54968989271485,7.99118474014243,8.41951942856167,"trtpd","trtpd_3",6,"Onthophagus_nuchicornis_female"
"67","trtpd trtpd_3 7 Onthophagus_nuchicornis_female",7.76675827160652,0.452537760296787,7.07066873197999,8.44047736501731,7.29166995122524,8.268426262112,7.48257421116106,8.08062119671347,"trtpd","trtpd_3",7,"Onthophagus_nuchicornis_female"
"68","trtpd trtpd_3 8 Onthophagus_nuchicornis_female",7.83470362286307,1.30208639535071,5.60922857217264,9.95725910251512,6.35944892700152,9.3864118052022,7.04342176427434,8.63823494961019,"trtpd","trtpd_3",8,"Onthophagus_nuchicornis_female"
"69","ungrazed ungrazed_1 6 Onthophagus_nuchicornis_female",7.6504730948415,0.32682043915086,7.16624441264333,8.28532608089263,7.29906144734024,8.05619905022072,7.41573283691268,7.85549695345887,"ungrazed","ungrazed_1",6,"Onthophagus_nuchicornis_female"
"70","ungrazed ungrazed_1 7 Onthophagus_nuchicornis_female",7.45821371799706,0.205280068536589,7.13248457136636,7.77086634497836,7.22526556310975,7.67918847060257,7.32131827586182,7.59689363288001,"ungrazed","ungrazed_1",7,"Onthophagus_nuchicornis_female"
"71","ungrazed ungrazed_1 8 Onthophagus_nuchicornis_female",7.99566580339632,1.24570218063845,5.89112721005085,9.92419565563544,6.61291151650639,9.30114365063672,7.28307666384394,8.76284154296838,"ungrazed","ungrazed_1",8,"Onthophagus_nuchicornis_female"
"72","ungrazed ungrazed_2 6 Onthophagus_nuchicornis_female",8.69351546994067,1.292518376118,6.58745423285502,10.7311005163553,7.21641055317681,10.1670675021702,7.83599055593748,9.56614860097871,"ungrazed","ungrazed_2",6,"Onthophagus_nuchicornis_female"
"73","ungrazed ungrazed_2 8 Onthophagus_nuchicornis_female",7.82814185760978,1.19478342952018,5.84522446474584,9.68118674352618,6.37350923481815,9.20766364439913,6.96558631171562,8.67709293286741,"ungrazed","ungrazed_2",8,"Onthophagus_nuchicornis_female"
"74","ungrazed ungrazed_3 6 Onthophagus_nuchicornis_female",8.01879587023353,0.273833976335801,7.57975910431319,8.48213425312585,7.70744281552945,8.3430517039705,7.8290523825572,8.21132218325265,"ungrazed","ungrazed_3",6,"Onthophagus_nuchicornis_female"
"75","ungrazed ungrazed_3 7 Onthophagus_nuchicornis_female",7.81811565026883,0.978237021668197,6.22487665490508,9.43523240924008,6.69951000094659,8.96190269566569,7.17167100012199,8.46843526624277,"ungrazed","ungrazed_3",7,"Onthophagus_nuchicornis_female"
"76","ungrazed ungrazed_3 8 Onthophagus_nuchicornis_female",8.24313380500679,0.617295230147697,7.29793413673718,9.28146226426866,7.54318020495438,8.98458323374766,7.78802729390106,8.70815669756272,"ungrazed","ungrazed_3",8,"Onthophagus_nuchicornis_female"
