day,mo,yr,date,DOY,site,code,meanTempC,PitfallPickup,Temp48hr,Temp20day,Temp60day
9,6,2022,6/9/2022,160,bison_1,bison_1-160,21.201,n,,,
10,6,2022,6/10/2022,161,bison_1,bison_1-161,21.03975,YES,21.120375,,
11,6,2022,6/11/2022,162,bison_1,bison_1-162,22.44475,n,,,
12,6,2022,6/12/2022,163,bison_1,bison_1-163,23.76425,n,,,
13,6,2022,6/13/2022,164,bison_1,bison_1-164,17.1465,n,,,
14,6,2022,6/14/2022,165,bison_1,bison_1-165,14.34725,n,,,
15,6,2022,6/15/2022,166,bison_1,bison_1-166,14.519,n,,,
16,6,2022,6/16/2022,167,bison_1,bison_1-167,22.2625,n,,,
17,6,2022,6/17/2022,168,bison_1,bison_1-168,32.237,n,,,
18,6,2022,6/18/2022,169,bison_1,bison_1-169,24.96525,n,,,
19,6,2022,6/19/2022,170,bison_1,bison_1-170,15.57,n,,,
20,6,2022,6/20/2022,171,bison_1,bison_1-171,20.87925,n,,,
21,6,2022,6/21/2022,172,bison_1,bison_1-172,19.36675,n,,,
22,6,2022,6/22/2022,173,bison_1,bison_1-173,23.83925,n,,,
23,6,2022,6/23/2022,174,bison_1,bison_1-174,21.39375,n,,,
24,6,2022,6/24/2022,175,bison_1,bison_1-175,15.495,n,,,
25,6,2022,6/25/2022,176,bison_1,bison_1-176,14.54025,n,,,
26,6,2022,6/26/2022,177,bison_1,bison_1-177,20.62175,n,,,
27,6,2022,6/27/2022,178,bison_1,bison_1-178,20.9755,n,,,
28,6,2022,6/28/2022,179,bison_1,bison_1-179,25.50125,n,,,
29,6,2022,6/29/2022,180,bison_1,bison_1-180,20.53575,n,,,
30,6,2022,6/30/2022,181,bison_1,bison_1-181,16.84625,n,,,
1,7,2022,7/1/2022,182,bison_1,bison_1-182,22.8095,n,,,
2,7,2022,7/2/2022,183,bison_1,bison_1-183,26.12325,n,,,
3,7,2022,7/3/2022,184,bison_1,bison_1-184,19.82775,n,,,
4,7,2022,7/4/2022,185,bison_1,bison_1-185,23.05625,n,,,
5,7,2022,7/5/2022,186,bison_1,bison_1-186,20.0855,n,,,
6,7,2022,7/6/2022,187,bison_1,bison_1-187,24.31075,n,,,
7,7,2022,7/7/2022,188,bison_1,bison_1-188,24.30025,n,,,
8,7,2022,7/8/2022,189,bison_1,bison_1-189,26.767,n,,,
9,7,2022,7/9/2022,190,bison_1,bison_1-190,24.815,n,,,
10,7,2022,7/10/2022,191,bison_1,bison_1-191,22.15525,n,,,
11,7,2022,7/11/2022,192,bison_1,bison_1-192,23.0775,n,,,
12,7,2022,7/12/2022,193,bison_1,bison_1-193,27.829,n,,,
13,7,2022,7/13/2022,194,bison_1,bison_1-194,26.97075,n,,,
14,7,2022,7/14/2022,195,bison_1,bison_1-195,27.003,n,,,
15,7,2022,7/15/2022,196,bison_1,bison_1-196,25.19075,n,,,
16,7,2022,7/16/2022,197,bison_1,bison_1-197,28.0435,n,,,
17,7,2022,7/17/2022,198,bison_1,bison_1-198,30.628,n,,,
18,7,2022,7/18/2022,199,bison_1,bison_1-199,24.16075,n,,,
19,7,2022,7/19/2022,200,bison_1,bison_1-200,23.48525,n,,,
20,7,2022,7/20/2022,201,bison_1,bison_1-201,24.01075,YES,23.88558333,24.7324875,
21,7,2022,7/21/2022,202,bison_1,bison_1-202,23.09925,n,,,
22,7,2022,7/22/2022,203,bison_1,bison_1-203,26.08075,n,,,
23,7,2022,7/23/2022,204,bison_1,bison_1-204,23.496,n,,,
24,7,2022,7/24/2022,205,bison_1,bison_1-205,27.3785,n,,,
25,7,2022,7/25/2022,206,bison_1,bison_1-206,22.99175,n,,,
26,7,2022,7/26/2022,207,bison_1,bison_1-207,21.53325,n,,,
