"","code_spp","thorax_mm_est","thorax_mm_SE","Q5","Q95","Q10","Q90","Q20","Q80","trt","site","month","spp"
"1","bison bison_1 6 Canthon_pilularius",5.0428308649184,0.158769664323875,4.77163539284548,5.28772849799974,4.86289818363361,5.2205344411629,4.93685880202447,5.15577444585368,"bison","bison_1",6,"Canthon_pilularius"
"2","bison bison_1 7 Canthon_pilularius",5.05524452366799,0.198446231749587,4.72550069446523,5.42967048122703,4.83701615209858,5.28144369895069,4.91623862598632,5.19216928792293,"bison","bison_1",7,"Canthon_pilularius"
"3","bison bison_1 8 Canthon_pilularius",5.05000680742526,0.159874736273951,4.77054242270449,5.30408374294842,4.85512185023841,5.23258760482752,4.94046486996959,5.16368632449464,"bison","bison_1",8,"Canthon_pilularius"
"4","bison bison_2 6 Canthon_pilularius",5.32065847730404,0.920317906960583,3.88360370632875,7.01371598244933,4.27528750638716,6.75594332292063,4.71024364754367,5.92109506706259,"bison","bison_2",6,"Canthon_pilularius"
"5","bison bison_2 7 Canthon_pilularius",5.59540680308674,0.898336327828207,4.64493588059564,8.20451312414123,4.89410997729829,6.32343100872442,5.10002762668121,5.78147727653037,"bison","bison_2",7,"Canthon_pilularius"
"6","bison bison_2 8 Canthon_pilularius",5.08206127861032,0.188101897976532,4.76170337809717,5.38107327500404,4.85768590988854,5.30134575247539,4.95087380596321,5.22244706241867,"bison","bison_2",8,"Canthon_pilularius"
"7","bison bison_3 6 Canthon_pilularius",5.03554029979795,0.11273759267143,4.85003913894569,5.2104341780237,4.89774433928828,5.16804216631143,4.94933038615182,5.11846835495103,"bison","bison_3",6,"Canthon_pilularius"
"8","bison bison_3 7 Canthon_pilularius",5.03917270057419,0.140847844200527,4.83412114343604,5.27071674490594,4.88870022255395,5.19222676139858,4.94435433420683,5.1279156127108,"bison","bison_3",7,"Canthon_pilularius"
"9","bison bison_3 8 Canthon_pilularius",4.95724468567832,0.135563902631661,4.76113615977675,5.1884023532793,4.81182922167038,5.10587653688024,4.8621951083211,5.03733586804309,"bison","bison_3",8,"Canthon_pilularius"
"10","cattle cattle_1 7 Canthon_pilularius",5.36705705683325,0.125879356624846,5.17704748770906,5.56395677706732,5.22843979737212,5.50436715945167,5.28309926367734,5.45075342021874,"cattle","cattle_1",7,"Canthon_pilularius"
"11","cattle cattle_1 8 Canthon_pilularius",5.19382879408648,0.146287243729891,4.96345146293663,5.44751457566871,5.02312389697079,5.36352885080789,5.08676915225263,5.29255696822649,"cattle","cattle_1",8,"Canthon_pilularius"
"12","cattle cattle_2 7 Canthon_pilularius",5.07490363753349,0.205084405525108,4.75747414389809,5.38374830036422,4.85401339959327,5.28134188776845,4.94121650255902,5.19491229013268,"cattle","cattle_2",7,"Canthon_pilularius"
"13","cattle cattle_2 8 Canthon_pilularius",5.05261905943399,0.216739494481539,4.69143296082456,5.40982118800216,4.80161513966509,5.29962132666879,4.91121899959739,5.19900370853999,"cattle","cattle_2",8,"Canthon_pilularius"
"14","cattle cattle_3 6 Canthon_pilularius",5.24082615539276,0.115347618741552,5.05361082219439,5.43056914186549,5.10193861604922,5.37784466325261,5.15737120388941,5.32676748917468,"cattle","cattle_3",6,"Canthon_pilularius"
"15","cattle cattle_3 7 Canthon_pilularius",5.0917952046852,0.155394988253803,4.85904898326774,5.34163736338434,4.92585757773509,5.26531028867302,4.98422120899657,5.19304440627594,"cattle","cattle_3",7,"Canthon_pilularius"
"16","cattle cattle_3 8 Canthon_pilularius",5.2812493922499,0.117491312105445,5.08939353612556,5.4643822670024,5.14057752083488,5.39923460360008,5.19035632790844,5.3765492875402,"cattle","cattle_3",8,"Canthon_pilularius"
"17","trtpd trtpd_1 6 Canthon_pilularius",3.63126587396562,1.12154291328912,1.63167283004006,5.34852596301368,2.23488086991419,4.97972920879144,2.83194480236465,4.50591609469107,"trtpd","trtpd_1",6,"Canthon_pilularius"
