spp,trt,body_mm_est,body_mm_SE,Q5,Q95,Q10,Q90,Q20,Q80
CP,bison,16.03249001,0.073738604,15.91039941,16.15354259,15.93945553,16.12491463,15.97112287,16.09130924
CP,cattle,16.34087134,0.061036665,16.24002835,16.43978339,16.26457858,16.41839431,16.29074239,16.39095595
CP,trtpd,15.09443921,0.490722789,14.28932269,15.88846012,14.47943792,15.70425938,14.69633523,15.49418209
CP,ungrazed,16.5580988,0.10638712,16.36712549,16.72002428,16.42170266,16.68404975,16.4778636,16.64411116
CP,untrtpd,15.81575155,0.14283392,15.57404885,16.03226499,15.64765103,15.98849747,15.71361664,15.92806467
ONf,bison,7.813692471,0.054904612,7.723776731,7.902173626,7.745385734,7.88136022,7.769117652,7.859028874
ONf,cattle,7.860116868,0.043555084,7.787437342,7.930155411,7.80505114,7.915134248,7.823994517,7.896876699
ONf,trtpd,7.885634081,0.11169436,7.707327926,8.068576814,7.748974517,8.022653958,7.797622834,7.971398403
ONf,ungrazed,7.835987709,0.062456655,7.736265012,7.934824209,7.757433444,7.914952978,7.782869653,7.888934925
ONf,untrtpd,7.772825351,0.069418982,7.658722177,7.88690847,7.686717094,7.858120697,7.717691746,7.827714241
ONm,bison,7.996959949,0.070680809,7.878465584,8.111198902,7.907334231,8.086112946,7.940523295,8.055092624
ONm,cattle,8.037000905,0.038534112,7.972969515,8.100436236,7.988587554,8.086759349,8.005232029,8.068503771
ONm,trtpd,8.162282067,0.133854307,7.944978566,8.38021621,8.002121674,8.324299657,8.058320476,8.26690616
ONm,ungrazed,8.119691454,0.076738926,7.999478407,8.24629744,8.026949577,8.216897173,8.056405725,8.18071584
ONm,untrtpd,7.947003382,0.086478943,7.805573924,8.085407408,7.837127952,8.050220786,7.878536535,8.014942515
