,trt_mo,CanPil_ActDens_est,CanPil_ActDens_SE,Q5,Q95,Q10,Q90,Q20,Q80,trt,month,mo_jit
1,bison 6,27.25544029,9.603147218,11.76067093,42.91869455,15.11036997,39.01197045,19.56204662,34.81972003,bison,6,5.9
2,bison 7,36.78267414,15.94796335,10.55805875,62.41737291,16.88384364,56.28564019,23.82399833,49.19639434,bison,7,6.9
3,bison 8,59.92119138,27.38335111,13.88061827,102.9754913,25.26441641,92.95654182,38.26776089,81.58464697,bison,8,7.9
4,cattle 6,3.032740551,4.684796921,-2.647877565,12.07993113,-1.419165317,8.549838658,-0.17465872,5.583526664,cattle,6,5.8
5,cattle 7,103.1278564,41.25357134,33.41280735,169.1176777,51.17150036,154.1064482,70.6065674,135.5150509,cattle,7,6.8
6,cattle 8,96.34435052,30.01806793,44.87289058,144.4505847,58.05728059,133.0600422,72.75947793,120.4193259,cattle,8,7.8
7,trtpd 6,1.271432874,0.907144469,-0.305505619,2.678438712,0.165377936,2.316783215,0.635577926,1.962030118,trtpd,6,6
8,trtpd 7,6.754703556,3.816601144,0.109298032,12.98480075,2.039342197,11.47186029,3.760306197,9.733345727,trtpd,7,7
9,trtpd 8,21.24334442,9.649851314,5.667289376,36.97156249,9.532189618,33.36283674,13.35520935,28.99079886,trtpd,8,8
10,ungrazed 6,17.72921099,8.917568568,3.267686926,32.33038257,6.836611371,28.74222853,10.28653401,24.85913884,ungrazed,6,6.2
11,ungrazed 7,29.44947163,14.87295248,4.489751765,53.49035208,10.72644147,47.8145307,17.48493726,41.31185997,ungrazed,7,7.2
12,ungrazed 8,18.72606318,6.065423083,9.178223843,28.84782223,11.4121545,26.2167064,13.8059371,23.47256795,ungrazed,8,8.2
13,untrtpd 6,51.91842325,29.22192844,5.848503513,98.72305747,17.50858084,85.84537625,29.97171444,73.39847846,untrtpd,6,6.1
14,untrtpd 7,61.01997803,33.40738957,8.463291328,118.6094727,22.56931414,100.7135967,36.01249581,86.22012438,untrtpd,7,7.1
15,untrtpd 8,67.80313608,44.39816255,-3.796091314,136.1781226,12.82380606,121.9321883,34.00332756,103.1451782,untrtpd,8,8.1
