,code_tm,horn_mm_est,horn_mm_SE,Q5,Q95,Q10,Q90,Q20,Q80,trt,month,mo_jit
1,bison 6,1.196493151,0.050399087,1.108965019,1.273798174,1.131712465,1.257803133,1.157222346,1.238319362,bison,6,5.9
2,bison 7,1.095210378,0.062291935,0.986195473,1.194065106,1.019418793,1.16768553,1.048899094,1.144498827,bison,7,6.9
3,bison 8,1.021978512,0.098403544,0.858513954,1.18078619,0.897439632,1.141420004,0.94399743,1.098135298,bison,8,7.9
4,cattle 6,1.181450574,0.104916938,1.040412559,1.363515093,1.075805484,1.307131691,1.109073303,1.254610537,cattle,6,5.8
5,cattle 7,1.034927461,0.055869459,0.947972885,1.123595093,0.968199678,1.103692068,0.991052408,1.077970402,cattle,7,6.8
6,cattle 8,1.175788178,0.066565551,1.065139909,1.280147304,1.096108017,1.253619112,1.125918275,1.225729354,cattle,8,7.8
7,trtpd 6,1.109043364,0.083854601,0.968026547,1.22718057,1.009624534,1.19979455,1.049787942,1.173114037,trtpd,6,6
8,trtpd 7,1.153076413,0.047851272,1.07444421,1.231005998,1.094274108,1.211011879,1.116196843,1.190990133,trtpd,7,7
9,trtpd 8,1.113514817,0.123664601,0.914898239,1.314786907,0.966834981,1.260814979,1.022874747,1.202702034,trtpd,8,8
10,ungrazed 6,1.096664023,0.039751022,1.031443667,1.158652326,1.047294596,1.145776216,1.06498132,1.128313762,ungrazed,6,6.2
11,ungrazed 7,0.95298437,0.315037238,0.357452483,1.393665549,0.586673151,1.281719315,0.820838213,1.1412912,ungrazed,7,7.2
12,ungrazed 8,1.306654799,0.668221906,0.266845918,2.306336328,0.655780128,1.985404426,0.93533986,1.653118361,ungrazed,8,8.2
13,untrtpd 7,1.114602159,0.053642502,1.029197007,1.200824833,1.049554819,1.178865339,1.07415609,1.15607636,untrtpd,7,6.1
14,untrtpd 8,1.067446033,0.072758146,0.945565173,1.182032038,0.975655151,1.15502351,1.012015482,1.126434502,untrtpd,8,7.1
15,untrtpd 6,1.022214393,0.079594572,0.888326521,1.146676212,0.920514587,1.120236576,0.961200361,1.086545029,untrtpd,6,8.1
