,trt_mo,OntNuc_ActDens_est,OntNuc_ActDens_SE,Q5,Q95,Q10,Q90,Q20,Q80,trt,month,mo_jit
1,bison 6,17.8486035,2.930840878,13.17484025,22.65033163,14.32807967,21.34256455,15.57168486,19.98970751,bison,6,5.9
2,bison 7,11.76061113,5.044358972,3.79132965,20.25971219,5.666341745,18.05674016,7.70723131,15.74647057,bison,7,6.9
3,bison 8,3.936557369,2.194842957,0.335906518,7.581397099,1.238675074,6.690078559,2.195235293,5.74423028,bison,8,7.9
4,cattle 6,4.745671352,3.692362802,-0.534116215,11.40529331,0.552034059,9.596201805,1.804908362,7.59433056,cattle,6,5.8
5,cattle 7,33.21455732,12.24320446,12.81331837,52.47187342,17.6113473,47.82211349,23.49569403,42.97708427,cattle,7,6.8
6,cattle 8,7.222211153,2.197958679,3.563408397,10.73954188,4.555116809,9.851151911,5.554781086,8.932305755,cattle,8,7.8
7,trtpd 6,8.985498559,3.187272555,3.843896127,14.14175274,5.099786461,12.94120356,6.473937426,11.46179287,trtpd,6,6
8,trtpd 7,13.86917094,5.217227963,5.274899719,22.69994816,7.572828377,20.22930679,9.858743271,17.85786628,trtpd,7,7
9,trtpd 8,2.419786329,0.967289533,1.016014164,4.00215709,1.378170497,3.511195316,1.751894807,3.064339428,trtpd,8,8
10,ungrazed 6,21.44517136,4.3163878,14.77805409,28.29439465,16.28532899,26.68267639,18.11679707,24.80589615,ungrazed,6,6.2
11,ungrazed 7,4.109762772,1.509710048,1.688472436,6.567653153,2.254329458,6.016222047,2.831855597,5.330063023,ungrazed,7,7.2
12,ungrazed 8,1.219665055,0.661277904,0.13024213,2.267408458,0.42588689,2.014845947,0.728883456,1.739855217,ungrazed,8,8.2
13,untrtpd 6,46.31539035,21.15840128,14.31274998,81.96185149,21.40014656,71.09805932,29.9853219,61.08148129,untrtpd,6,6.1
14,untrtpd 7,33.83248754,14.00429809,11.15039926,57.97102393,16.74566706,51.72033811,22.84553921,44.87711175,untrtpd,7,7.1
15,untrtpd 8,15.34871213,5.953522072,5.648206612,25.08225131,8.067666474,22.51044329,10.72799888,19.90521917,untrtpd,8,8.1
