"","code_spp","wing_mm_est","wing_mm_SE","Q5","Q95","Q10","Q90","Q20","Q80","trt","site","month","spp"
"1","bison bison_1 6 Canthon_pilularius",7.12158005602879,0.206123940514553,6.77731591580574,7.44927847569553,6.87251428561707,7.36086556389426,6.97728084919924,7.27217915199781,"bison","bison_1",6,"Canthon_pilularius"
"2","bison bison_1 7 Canthon_pilularius",6.94801880666394,0.280087928583168,6.48517119287762,7.39938961855179,6.6045763788898,7.27116740670621,6.74250341512507,7.15749238391465,"bison","bison_1",7,"Canthon_pilularius"
"3","bison bison_1 8 Canthon_pilularius",7.17253563594449,0.263401926329512,6.7536432177602,7.61771383906129,6.869525598909,7.48949723463148,6.98428499587876,7.36507923245691,"bison","bison_1",8,"Canthon_pilularius"
"4","bison bison_2 6 Canthon_pilularius",7.02680428199929,1.1531691645038,5.1198292968727,8.96179625572997,5.5953805386432,8.41664448413339,6.20079480410393,7.88719850944202,"bison","bison_2",6,"Canthon_pilularius"
"5","bison bison_2 7 Canthon_pilularius",7.29170462896118,0.28066465394982,6.77508283676938,7.71551859690216,6.96079122223084,7.60092327325609,7.10875261765439,7.49190323718072,"bison","bison_2",7,"Canthon_pilularius"
"6","bison bison_2 8 Canthon_pilularius",7.03406828608338,0.258316844362917,6.60792642923149,7.42839105622493,6.73598387847682,7.33521664477619,6.84731431147309,7.21603207651988,"bison","bison_2",8,"Canthon_pilularius"
"7","bison bison_3 6 Canthon_pilularius",7.07866719767471,0.136248364358949,6.84975468299607,7.28777372972704,6.91705572579171,7.23622299337388,6.98275544573706,7.18158031924372,"bison","bison_3",6,"Canthon_pilularius"
"8","bison bison_3 7 Canthon_pilularius",7.18560900916546,0.159921631677119,6.92193200930123,7.44770909750464,6.99332611505564,7.37935214493107,7.06750434094267,7.3076483132655,"bison","bison_3",7,"Canthon_pilularius"
"9","bison bison_3 8 Canthon_pilularius",7.11228020542812,0.184219253756096,6.80982146127389,7.42434861760168,6.92689919317583,7.30044616033881,7.00172219694579,7.22283551750193,"bison","bison_3",8,"Canthon_pilularius"
"10","cattle cattle_1 7 Canthon_pilularius",7.4981458175542,0.141646392218915,7.26794551565578,7.73044996405188,7.32942709832513,7.65828899433226,7.3905835604681,7.59766057207538,"cattle","cattle_1",7,"Canthon_pilularius"
"11","cattle cattle_1 8 Canthon_pilularius",7.34531226912919,0.245381064894783,7.03688607084398,7.75071317493205,7.126359816983,7.55855961547986,7.19960242445393,7.44627131676471,"cattle","cattle_1",8,"Canthon_pilularius"
"12","cattle cattle_2 7 Canthon_pilularius",7.23858074741896,0.222950708500439,6.94605141392312,7.60557318681769,7.02079487796476,7.45124823721497,7.09093821189359,7.34755954496657,"cattle","cattle_2",7,"Canthon_pilularius"
"13","cattle cattle_2 8 Canthon_pilularius",7.1557275324877,0.204137179337519,6.83721504157762,7.48669292744645,6.93036162744279,7.37215394959801,7.0219090365999,7.28416783709041,"cattle","cattle_2",8,"Canthon_pilularius"
"14","cattle cattle_3 6 Canthon_pilularius",7.43988553339843,0.235661167952489,7.13639405960947,7.79320394799344,7.22044691193797,7.6702407449627,7.30190936799809,7.56881947578966,"cattle","cattle_3",6,"Canthon_pilularius"
"15","cattle cattle_3 7 Canthon_pilularius",7.26396798047804,0.176811315560806,6.95132324528107,7.52714795766285,7.05771881055281,7.464837546168,7.14180144828905,7.39024590294457,"cattle","cattle_3",7,"Canthon_pilularius"
"16","cattle cattle_3 8 Canthon_pilularius",7.34446881294193,0.114241290003884,7.1717407937225,7.51674325323894,7.21585611397904,7.47669640055557,7.26004433556766,7.43161397971983,"cattle","cattle_3",8,"Canthon_pilularius"
