site,month,ON_dens,CP_dens,ON_dens_tm1,CP_dens_tm1,ON_dens_tm2,CP_dens_tm2
bison_1,6,83,58,NA,NA,NA,NA
bison_1,7,30,60,83,58,NA,NA
bison_1,8,1,143,30,60,83,58
bison_2,6,23,3,NA,NA,NA,NA
bison_2,7,227,16,23,3,NA,NA
bison_2,8,5,27,227,16,23,3
bison_3,6,99,252,NA,NA,NA,NA
bison_3,7,53,343,99,252,NA,NA
bison_3,8,72,943,53,343,99,252
cattle_1,6,6,0,NA,NA,NA,NA
cattle_1,7,24,590,6,0,NA,NA
cattle_1,8,8,716,24,590,6,0
cattle_2,6,3,0,NA,NA,NA,NA
cattle_2,7,290,77,3,0,NA,NA
cattle_2,8,56,134,290,77,3,0
cattle_3,6,84,257,NA,NA,NA,NA
cattle_3,7,49,244,84,257,NA,NA
cattle_3,8,9,189,49,244,84,257
trtpd_1,6,19,2,NA,NA,NA,NA
trtpd_1,7,63,2,19,2,NA,NA
trtpd_1,8,4,34,63,2,19,2
trtpd_2,6,71,4,NA,NA,NA,NA
trtpd_2,7,101,72,71,4,NA,NA
trtpd_2,8,12,243,101,72,71,4
trtpd_3,6,25,11,NA,NA,NA,NA
trtpd_3,7,18,18,25,11,NA,NA
trtpd_3,8,11,64,18,18,25,11
ungrazed_1,6,124,297,NA,NA,NA,NA
ungrazed_1,7,39,377,124,297,NA,NA
ungrazed_1,8,2,110,39,377,124,297
ungrazed_2,6,3,8,NA,NA,NA,NA
ungrazed_2,7,0,25,3,8,NA,NA
ungrazed_2,8,4,106,0,25,3,8
ungrazed_3,6,111,8,NA,NA,NA,NA
ungrazed_3,7,17,6,111,8,NA,NA
ungrazed_3,8,12,9,17,6,111,8
untrtpd_1,7,330,0,NA,NA,NA,NA
untrtpd_1,8,35,2,330,0,NA,NA
untrtpd_2,6,274,188,NA,NA,NA,NA
untrtpd_2,7,32,239,274,188,NA,NA
untrtpd_2,8,126,754,32,239,274,188
untrtpd_3,6,240,474,NA,NA,NA,NA
untrtpd_3,7,104,483,240,474,NA,NA
untrtpd_3,8,36,222,104,483,240,474
