"","grass_PC1","site","month"
"32",0.12717182095783,"bison_1",6
"23",-0.283225802291691,"bison_1",7
"12",-1.33782176876169,"bison_1",8
"6",0.896265949343331,"bison_1",9
"33",2.1098356378871,"bison_2",6
"24",1.12629448347632,"bison_2",7
"13",-0.185428510099306,"bison_2",8
"7",-1.50514548550409,"bison_2",9
"34",-0.611732331883398,"bison_3",6
"25",-0.893454034515685,"bison_3",7
"14",-2.02151081305976,"bison_3",8
"8",-1.89473864688435,"bison_3",9
"35",0.330972075350391,"cattle_1",6
"26",-0.579984745211556,"cattle_1",7
"15",-0.903495210969128,"cattle_1",8
"4",-1.71726732822508,"cattle_1",9
"36",0.466247604768802,"cattle_2",6
"27",-0.384983012131499,"cattle_2",7
"16",-0.852061903351635,"cattle_2",8
"5",2.62907565251573,"cattle_2",9
"37",1.08147965315176,"cattle_3",6
"28",-0.0812523934349411,"cattle_3",7
"17",-1.07101832791968,"cattle_3",8
"38",1.26562958743025,"trtpd_2",6
"39",1.66320861547727,"ungrazed_1",6
"20",-0.349658542076598,"ungrazed_1",7
"9",-0.590429605534656,"ungrazed_1",8
"3",-1.77646098558294,"ungrazed_1",9
"40",0.6364456066992,"ungrazed_2",6
"21",-0.906468842869748,"ungrazed_2",7
"11",-1.81417522691615,"ungrazed_2",8
"1",-2.15449281028362,"ungrazed_2",9
"41",-0.795983728046533,"ungrazed_3",6
"22",-1.43180032052671,"ungrazed_3",7
"10",-0.642383658668977,"ungrazed_3",8
"2",-1.51233092238895,"ungrazed_3",9
"42",8.2771588125183,"untrtpd_1",6
"29",2.70892177403478,"untrtpd_1",7
"18",0.109270215024184,"untrtpd_1",8
"43",1.02660134249487,"untrtpd_2",6
"30",2.66143446104812,"untrtpd_2",7
"19",-0.937235891184492,"untrtpd_2",8
"44",0.694759743935289,"untrtpd_3",6
"31",-0.576232187790662,"untrtpd_3",7
