code_b,site_specific,site,round,year,month,day picked up,sample,CanPil,OntNuc,DriverData
bison1_1_NE_8,bison1_1,bison_1,3,2022,8,18,NE,10,0,y
bison1_1_SW_8,bison1_1,bison_1,3,2022,8,18,SW,13,0,y
bison1_1_SE_8,bison1_1,bison_1,3,2022,8,18,SE,19,0,y
bison1_1_NW_8,bison1_1,bison_1,3,2022,8,18,NW,101,1,y
bison1_1_NE_7,bison1_1,bison_1,2,2022,7,20,NE,16,5,y
bison1_1_NW_7,bison1_1,bison_1,2,2022,7,20,NW,25,7,y
bison1_1_SE_7,bison1_1,bison_1,2,2022,7,20,SE,11,8,y
bison1_1_SW_7,bison1_1,bison_1,2,2022,7,20,SW,8,10,y
bison1_1_SW_6,bison1_1,bison_1,1,2022,6,10,SW,14,14,y
bison1_1_NE_6,bison1_1,bison_1,1,2022,6,10,NE,20,18,y
bison1_1_SE_6,bison1_1,bison_1,1,2022,6,10,SE,11,23,y
bison1_1_NW_6,bison1_1,bison_1,1,2022,6,10,NW,13,28,y
bison2_1_SE_8,bison2_1,bison_2,3,2022,8,12,SE,3,0,y
bison2_1_SW_8,bison2_1,bison_2,3,2022,8,12,SW,5,0,y
bison2_1_SE_6,bison2_1,bison_2,1,2022,6,15,SE,0,1,y
bison2_1_NE_8,bison2_1,bison_2,3,2022,8,12,NE,8,1,y
bison2_1_NW_8,bison2_1,bison_2,3,2022,8,12,NW,11,4,y
bison2_1_SW_6,bison2_1,bison_2,1,2022,6,15,SW,1,5,y
bison2_1_NW_6,bison2_1,bison_2,1,2022,6,15,NW,2,7,y
bison2_1_NE_6,bison2_1,bison_2,1,2022,6,15,NE,0,10,y
bison2_1_SE_7,bison2_1,bison_2,2,2022,7,20,SE,5,20,y
bison2_1_SW_7,bison2_1,bison_2,2,2022,7,20,SW,6,40,y
bison2_1_NW_7,bison2_1,bison_2,2,2022,7,20,NW,4,80,y
bison2_1_NE_7,bison2_1,bison_2,2,2022,7,20,NE,1,87,y
bison3_1_NW_8,bison3_1,bison_3,3,2022,8,17,NW,169,6,y
bison3_1_SW_6,bison3_1,bison_3,1,2022,6,23,SW,57,7,y
bison3_1_SE_7,bison3_1,bison_3,2,2022,7,15,SE,90,7,y
bison3_1_SW_7,bison3_1,bison_3,2,2022,7,15,SW,73,14,y
bison3_1_NW_7,bison3_1,bison_3,2,2022,7,15,NW,99,15,y
bison3_1_SW_8,bison3_1,bison_3,3,2022,8,17,SW,294,16,y
bison3_1_NE_7,bison3_1,bison_3,2,2022,7,15,NE,81,17,y
bison3_1_NE_8,bison3_1,bison_3,3,2022,8,17,NE,180,17,y
bison3_1_SE_6,bison3_1,bison_3,1,2022,6,23,SE,78,23,y
bison3_1_SE_8,bison3_1,bison_3,3,2022,8,17,SE,300,33,y
bison3_1_NW_6,bison3_1,bison_3,1,2022,6,23,NW,49,34,y
bison3_1_NE_6,bison3_1,bison_3,1,2022,6,23,NE,68,35,y
cattle1_1_NW_6,cattle1_1,cattle_1,1,2022,6,15,NW,0,1,y
cattle1_1_SW_6,cattle1_1,cattle_1,1,2022,6,15,SW,0,1,y
cattle1_1_SE_6,cattle1_1,cattle_1,1,2022,6,15,SE,0,1,y
cattle1_1_NE_8,cattle1_1,cattle_1,3,2022,8,18,NE,121,1,y
cattle1_1_NW_8,cattle1_1,cattle_1,3,2022,8,18,NW,200,1,y
cattle1_1_NE_6,cattle1_1,cattle_1,1,2022,6,15,NE,0,3,y
cattle1_1_SE_8,cattle1_1,cattle_1,3,2022,8,18,SE,172,3,y
cattle1_1_SW_8,cattle1_1,cattle_1,3,2022,8,18,SW,223,3,y
cattle1_1_SW_7,cattle1_1,cattle_1,2,2022,7,14,SW,131,4,y
cattle1_1_SE_7,cattle1_1,cattle_1,2,2022,7,14,SE,153,5,y
cattle1_1_NW_7,cattle1_1,cattle_1,2,2022,7,14,NW,163,7,y
cattle1_1_NE_7,cattle1_1,cattle_1,2,2022,7,14,NE,143,8,y
cattle2_1_SW_6,cattle2_1,cattle_2,1,2022,6,15,SW,0,1,y
cattle2_1_NE_6,cattle2_1,cattle_2,1,2022,6,15,NE,0,2,y
