yr,month,day,code,code_b,trt,site_broadly,site_rep,site,trap,species,replicate,wing center (mm),thorax length (mm),head length (mm),forearm length (mm),horn length (mm),body length (mm),TrapCount,,,
2022,6,15,bison_2-6,bison2_1_SW_6,bison,bison_2,1,bison2_1,SW,Canthon_pilularius,1,6.43,5.06,3.27,3.97,NA,14.76,1,,,
2022,7,20,bison_2-7,bison2_1_NE_7,bison,bison_2,1,bison2_1,NE,Canthon_pilularius,1,7.85,6.18,4.55,5.33,NA,18.58,1,,,
2022,6,15,cattle_1-6,cattle1_2_NE_6,cattle,cattle_1,2,cattle1_2,NE,Canthon_pilularius,1,8.29,6.44,4.7,5.73,NA,19.43,1,,,
2022,6,15,cattle_2-6,cattle2_2_SW_6,cattle,cattle_2,2,cattle2_2,SW,Canthon_pilularius,1,7.03,5.01,3.7,3.86,NA,15.74,1,,,
2022,6,15,trtpd_1-6,trtpd1_SW_6,trtpd,trtpd_1,1,trtpd1,SW,Canthon_pilularius,1,6.65,4.7,3.49,3.36,NA,14.84,1,,,
2022,8,15,trtpd_1-8,trtpd1_NW_8,trtpd,trtpd_1,1,trtpd1,NW,Canthon_pilularius,1,7.18,5.62,4.05,5.19,NA,16.85,1,,,
2022,6,10,trtpd_2-6,trtpd2_NW_6,trtpd,trtpd_2,1,trtpd2,NW,Canthon_pilularius,1,7.7,5.32,3.97,4.28,NA,16.99,1,,,
2022,6,10,trtpd_2-6,trtpd2_SW_6,trtpd,trtpd_2,1,trtpd2,SW,Canthon_pilularius,1,7.15,5.03,4.07,4.29,NA,16.25,1,,,
2022,6,15,ungrazed_2-6,ungrazed2_1_NW_6,ungrazed,ungrazed_2,1,ungrazed2_1,NW,Canthon_pilularius,1,7.38,5.37,3.91,3.78,NA,16.66,1,,,
2022,6,15,ungrazed_2-6,ungrazed2_1_NW_6,ungrazed,ungrazed_2,1,ungrazed2_1,NW,Canthon_pilularius,2,3.89,7.84,5.8,4.12,NA,17.53,1,,,
2022,6,15,ungrazed_2-6,ungrazed2_1_SW_6,ungrazed,ungrazed_2,1,ungrazed2_1,SW,Canthon_pilularius,1,7.83,5.33,4.11,4.32,NA,17.27,1,,,
2022,7,14,ungrazed_2-7,ungrazed2_1_NE_7,ungrazed,ungrazed_2,1,ungrazed2_1,NE,Canthon_pilularius,1,7.91,5.46,4.15,4.27,NA,17.52,1,,,
2022,6,23,ungrazed_3-6,ungrazed3_1_SE_6,ungrazed,ungrazed_3,1,ungrazed3_1,SE,Canthon_pilularius,1,6.17,4.75,3.33,4.17,NA,14.25,1,,,
2022,7,13,ungrazed_3-7,ungrazed3_1_SE_7,ungrazed,ungrazed_3,1,ungrazed3_1,SE,Canthon_pilularius,1,7.88,6.1,4.44,4.19,NA,18.42,1,,,
2022,8,12,ungrazed_3-8,ungrazed3_1_SW_8,ungrazed,ungrazed_3,1,ungrazed3_1,SW,Canthon_pilularius,1,6.76,5.78,3.97,5,NA,16.51,1,,,
2022,8,12,ungrazed_3-8,ungrazed3_1 _NW_8,ungrazed,ungrazed_3,1,ungrazed3_1 ,NW,Canthon_pilularius,1,6.59,5.4,4.03,4.03,NA,16.02,1,,,
2022,7,13,ungrazed_3-7,ungrazed3_2_NW_7,ungrazed,ungrazed_3,2,ungrazed3_2,NW,Canthon_pilularius,1,4.4,3.17,1.81,2.59,NA,9.38,1,,,
2022,7,13,ungrazed_3-7,ungrazed3_2_SE_7,ungrazed,ungrazed_3,2,ungrazed3_2,SE,Canthon_pilularius,1,5.31,3.41,1.97,2.47,NA,10.69,1,,,
2022,8,12,untrtpd_1-8,untrtpd1_SE_8,untrtpd,untrtpd_1,1,untrtpd1,SE,Canthon_pilularius,1,5.22,3.42,2.64,2.74,NA,11.28,1,,,
2022,8,12,untrtpd_1-8,untrtpd1_SW_8,untrtpd,untrtpd_1,1,untrtpd1,SW,Canthon_pilularius,1,6.31,4.92,3.44,4.16,NA,14.67,1,,,
2022,8,18,bison_1-8,bison1_1_NW_8,bison,bison_1,1,bison1_1,NW,Onthophagus_nuchicornis_female,1,2.97,2.84,1.71,1.7,NA,7.52,1,,,
2022,8,24,bison_1-8,bison1_2_NW_8,bison,bison_1,2,bison1_2,NW,Onthophagus_nuchicornis_female,1,3.26,2.98,1.73,1.9,NA,7.97,1,,,
2022,8,24,bison_1-8,bison1_2_SE_8,bison,bison_1,2,bison1_2,SE,Onthophagus_nuchicornis_female,1,2.61,2.59,1.59,1.38,NA,6.79,1,,,
2022,6,15,bison_2-6,bison2_1_SE_6,bison,bison_2,1,bison2_1,SE,Onthophagus_nuchicornis_female,1,2.71,2.44,1.43,1.59,NA,6.58,1,,,
2022,8,12,bison_2-8,bison2_1_NE_8,bison,bison_2,1,bison2_1,NE,Onthophagus_nuchicornis_female,1,3.43,3.23,1.81,2.18,NA,8.47,1,,,
2022,6,15,cattle_1-6,cattle1_1_NW_6,cattle,cattle_1,1,cattle1_1,NW,Onthophagus_nuchicornis_female,1,3.01,2.93,1.54,2.16,NA,7.48,1,,,
2022,6,15,cattle_2-6,cattle2_2_NE_6,cattle,cattle_2,2,cattle2_2,NE,Onthophagus_nuchicornis_female,1,3.45,3.3,1.83,1.95,NA,8.58,1,,,
2022,8,24,ungrazed_1-8,ungrazed1_1_NW_8,ungrazed,ungrazed_1,1,ungrazed1_1,NW,Onthophagus_nuchicornis_female,1,3.22,3.1,1.82,2.06,NA,8.14,1,,,
2022,8,24,ungrazed_1-8,ungrazed1_1_SW_8,ungrazed,ungrazed_1,1,ungrazed1_1,SW,Onthophagus_nuchicornis_female,1,3.17,3.05,1.75,2.05,NA,7.97,1,,,
