code,trt,site,yr,mo,day,plot,browser_100m2,patty_100m2,PD_1m2,browser_minusLastMo,patty_minusLastMo,PD_minusLastMo,browser_lastMo,patty_lastMo,PD_lastMo,browser_2MoPrior,patty_2MoPrior,PD_2MoPrior
bison_1-6,bison,bison_1,2022,6,9,1,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_1-6,bison,bison_1,2022,6,9,2,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_1-6,bison,bison_1,2022,6,9,3,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_1-6,bison,bison_1,2022,6,9,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_1-6,bison,bison_1,2022,6,9,5,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_1-6,bison,bison_1,2022,6,9,6,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_1-6,bison,bison_1,2022,6,9,7,1,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_1-6,bison,bison_1,2022,6,9,8,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_2-6,bison,bison_2,2022,6,14,1,1,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_2-6,bison,bison_2,2022,6,14,2,1,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_2-6,bison,bison_2,2022,6,14,3,1,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_2-6,bison,bison_2,2022,6,14,4,1,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_2-6,bison,bison_2,2022,6,14,5,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_2-6,bison,bison_2,2022,6,14,6,1,31,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_2-6,bison,bison_2,2022,6,14,7,0,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
bison_2-6,bison,bison_2,2022,6,14,8,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
